"","email_name","short_code"
"1","„Höhle der Löwen“ System macht Deutsche Bürger reich! / „Höhle der Löwen“",1
"2","🎄 Merry Christmas, plus a service deadline announcement 🌲 / Felix from AISLER",2
"3","Besonderes Highlight: Tischfußballtisch für nur 399,- statt 1199,- / Sport und Spiel",3
"4","BITTE ES IST DRINGEND / Didelet Andy",4
"5","Bitte Reagieren! / DKBOnline",5
"6","Dank der Karte, die einen hohen Kreditrahmen besitzt, haben Sie keine Geldsorgen mehr - freundliche Empfehlung von Manfred / Hermann Kerner",6
"7","Dating für Sex zu Weihnachten in Deutschland / Dating in Deutschland",7
"8","Der einfachste Weg, um Strom zu sparen / E-Energy",8
"9","Der Gewinn kann in wenigen Monaten um das 10-fache gesteigert werden... / BTC Profit",9
"10","Hondrox — ist das erste Mittel mit Teufelskrallenextrakte, Arnika für die Wiederherstellung der Knorpel in den Gelenken / Hondrox",10
"11","Deutsche Instagram Follower Kaufen / Hallo von Followermonster",11
"12","Effektive Behandlung von Hämorrhoiden in jedem Stadium / Gelarex",12
"13","Ersteinzahlungsbonus +100 Freispiele / Freispiele",13
"14","Gluconol – Doppelschlag auf den Diabetes / Gluconol",14
"15","Grüße mein Lieber / Juliet Jonhson",15
"16","Hallo Lieber / elizabeth akah",16
"17","Haltungskorrektur der Wirbelsaule / BSP Corrector",17
"18","LGBT I NEED YOUR HELP / Aleksandr Kovalenko",18
"19","RE / Charls",19
"20","unbedingt lesen. / Miles & More K artenService",20
